version,topology,query_type,index_size,timeout_ms,n,obs_mean_ms,obs_p50_ms,obs_p95_ms,obs_max_ms,server_mean_ms,timeout_pct,overshoot_mean_ms,overshoot_p95_ms
new,cluster3,AGGREGATE,500000,50,50,57.535,56.806,65.198,70.638,0.161,100.0,7.535,15.198
new,cluster3,AGGREGATE,500000,100,50,117.330,107.749,185.348,271.451,0.167,100.0,17.330,85.348
new,cluster3,AGGREGATE,500000,500,50,518.815,505.940,595.165,618.896,0.207,100.0,18.815,95.165
new,cluster3,AGGREGATE,500000,1000,50,3134.063,3247.304,3337.834,3563.012,884.143,6.0,2134.063,2337.834
new,cluster3,AGGREGATE,500000,2000,50,3259.896,3245.576,3332.114,3350.686,936.192,0.0,1259.896,1332.114
new,cluster3,HYBRID,500000,50,50,27.769,24.974,34.101,37.275,27.246,0.0,-22.231,-15.899
new,cluster3,HYBRID,500000,100,50,30.080,31.143,35.665,35.991,29.560,0.0,-69.920,-64.335
new,cluster3,HYBRID,500000,500,50,28.618,25.687,35.142,35.246,28.095,0.0,-471.382,-464.858
new,cluster3,HYBRID,500000,1000,50,28.585,25.623,35.518,35.608,28.057,0.0,-971.415,-964.482
new,cluster3,HYBRID,500000,2000,50,28.313,25.808,33.874,35.585,27.800,0.0,-1971.687,-1966.126
new,cluster3,SEARCH,500000,50,50,63.331,62.634,70.241,80.674,0.124,100.0,13.331,20.241
new,cluster3,SEARCH,500000,100,50,116.447,117.007,127.635,132.015,94.913,8.0,16.447,27.635
new,cluster3,SEARCH,500000,500,50,115.621,114.999,123.291,130.074,101.144,0.0,-384.379,-376.709
new,cluster3,SEARCH,500000,1000,50,117.203,116.485,122.976,127.235,102.436,0.0,-882.797,-877.024
new,cluster3,SEARCH,500000,2000,50,117.072,116.669,123.525,128.806,102.517,0.0,-1882.928,-1876.475
new,cluster5,AGGREGATE,1000000,50,50,55.822,55.361,61.354,62.082,0.132,100.0,5.822,11.354
new,cluster5,AGGREGATE,1000000,100,50,105.068,104.620,109.965,112.445,0.139,100.0,5.068,9.965
new,cluster5,AGGREGATE,1000000,500,50,553.026,506.257,804.390,1141.684,0.164,100.0,53.026,304.390
new,cluster5,AGGREGATE,1000000,1000,50,1036.143,1007.301,1206.534,1209.657,0.166,100.0,36.143,206.534
new,cluster5,AGGREGATE,1000000,2000,50,6361.122,6336.747,6562.895,6809.882,1560.791,0.0,4361.122,4562.895
new,cluster5,HYBRID,1000000,50,50,46.130,46.232,51.532,52.822,43.531,4.0,-3.870,1.532
new,cluster5,HYBRID,1000000,100,50,46.428,46.081,53.847,64.555,45.894,0.0,-53.572,-46.153
new,cluster5,HYBRID,1000000,500,50,46.475,46.776,51.177,53.178,45.943,0.0,-453.525,-448.823
new,cluster5,HYBRID,1000000,1000,50,46.061,46.460,50.107,50.886,45.534,0.0,-953.939,-949.893
new,cluster5,HYBRID,1000000,2000,50,46.198,46.343,50.760,53.501,45.641,0.0,-1953.802,-1949.240
new,cluster5,SEARCH,1000000,50,50,70.468,70.485,82.096,89.440,0.159,100.0,20.468,32.096
new,cluster5,SEARCH,1000000,100,50,106.822,101.886,130.919,197.553,3.071,98.0,6.822,30.919
new,cluster5,SEARCH,1000000,500,50,161.996,161.799,172.511,173.953,137.747,0.0,-338.004,-327.489
new,cluster5,SEARCH,1000000,1000,50,160.259,161.293,168.649,172.443,136.359,0.0,-839.741,-831.351
new,cluster5,SEARCH,1000000,2000,50,160.048,160.738,170.245,174.457,136.272,0.0,-1839.952,-1829.755
new,cluster7,AGGREGATE,1000000,50,50,54.836,54.284,59.195,62.213,0.129,100.0,4.836,9.195
new,cluster7,AGGREGATE,1000000,100,50,105.424,104.466,112.221,113.024,0.187,100.0,5.424,12.221
new,cluster7,AGGREGATE,1000000,500,50,566.546,507.061,856.115,1075.641,0.150,100.0,66.546,356.115
new,cluster7,AGGREGATE,1000000,1000,50,3493.660,1176.475,6434.034,6498.113,699.547,54.0,2493.660,5434.034
new,cluster7,AGGREGATE,1000000,2000,50,6364.909,6348.890,6701.671,6769.945,1545.909,0.0,4364.909,4701.671
new,cluster7,HYBRID,1000000,50,50,42.951,42.388,47.450,48.798,42.403,0.0,-7.049,-2.550
new,cluster7,HYBRID,1000000,100,50,42.798,42.334,46.501,48.995,42.220,0.0,-57.202,-53.499
new,cluster7,HYBRID,1000000,500,50,43.125,43.015,46.080,51.807,42.568,0.0,-456.875,-453.920
new,cluster7,HYBRID,1000000,1000,50,42.503,42.271,46.560,48.828,41.948,0.0,-957.497,-953.440
new,cluster7,HYBRID,1000000,2000,50,43.082,42.406,46.982,50.262,42.528,0.0,-1956.918,-1953.018
